Name,Gmail,Phone Number,Date of Purchase,Invoice Number,Service Date ,Service Type,Parts,Replace,Cycle brand and model ,Gear/Non Gear,STORE 
Amanda White,amandawhite@gmail.com,9453572037,24-10-2025,INV46725,Not yet ,Not yet time for servicing ,NIL,NIL,Ninety One Wanderer,Gear,Dommasandra
John Franklin,johnfranklin@gmail.com,6374901314,26-09-2025,INV22637,Not yet ,Not yet time for servicing ,NIL,NIL,Firefox Bad Attitude 5,Non Gear,Dommasandra
Zachary Carter,zacharycarter@gmail.com,6269258104,25-09-2025,INV47938,Not yet ,Not yet time for servicing ,NIL,NIL,BSA Ladybird,Non Gear,Dommasandra
Lisa Flores,lisaflores@gmail.com,8828195327,18-10-2025,INV52206,22-11-2025,Upgrade,Gear System,Yes,Btwin Rockrider,Gear,Dommasandra
Lori Perez,loriperez@gmail.com,7527116882,03-09-2025,INV72307,24-10-2025,Repair,Tires,Yes,BSA Ladybird,Non Gear,Dommasandra
Jeffrey Garcia DVM,jeffreygarciadvm@gmail.com,8277438223,26-09-2025,INV73954,14-11-2025,Full Service,Chain,Yes,BSA Ladybird,Non Gear,Dommasandra
James Nelson,jamesnelson@gmail.com,7297162046,27-10-2025,INV59482,19-12-2025,Upgrade,Tires,No,Hero Sprint,Gear,Dommasandra
Destiny Poole,destinypoole@gmail.com,8052131426,10-10-2025,INV95579,22-10-2025,Upgrade,Seat,Yes,Btwin Rockrider,Gear,Dommasandra
Carl Wade,carlwade@gmail.com,9208810769,17-09-2025,INV55887,29-11-2025,Upgrade,Lights,Yes,Firefox Bad Attitude,Non Gear,Dommasandra
Aaron Chavez,aaronchavez@gmail.com,7369034859,07-10-2025,INV53456,30-12-2025,Full Service,Chain,Yes,BSA Ladybird,Non Gear,Marathahalli
Kenneth Adams,kennethadams@gmail.com,9742523511,16-10-2025,INV93813,Not yet ,Not yet time for servicing ,NIL,NIL,Hercules Roadeo,Gear,Marathahalli
Mark Hansen,markhansen@gmail.com,6110314814,18-10-2025,INV90617,Not yet ,Not yet time for servicing ,NIL,NIL,Avon Classic,Non Gear,Marathahalli
David Hale,davidhale@gmail.com,9934069827,15-10-2025,INV42232,Not yet ,Not yet time for servicing ,NIL,NIL,Ninety One Wanderer,Gear,Marathahalli
Joseph Coleman,josephcoleman@gmail.com,8938598335,13-10-2025,INV95967,19-12-2025,Repair,Battery,Yes,Btwin Rockrider,Gear,Marathahalli
Nancy Hopkins,nancyhopkins@gmail.com,7564760964,09-10-2025,INV10276,22-10-2025,Maintenance,Chain,No,Btwin Rockrider,Gear,Marathahalli
Nicholas Hill,nicholashill@gmail.com,7194452743,27-10-2025,INV34620,29-11-2025,Full Service,Brake Pads,Yes,Montra Trance,Gear,Marathahalli
Aaron Gilbert,aarongilbert@gmail.com,6086799391,14-10-2025,INV70256,30-12-2025,Upgrade,Mudguard,Yes,Firefox Bad Attitude,ar,Marathahalli
David Patton,davidpatton@gmail.com,8908422559,12-10-2025,INV62336,22-11-2025,Repair,Mudguard,Yes,Hercules Roadeo,Non Gear,Marathahalli
Emma White,emmawhite@gmail.com,6226265422,29-09-2025,INV39620,24-10-2025,Repair,Seat,No,BSA Ladybird,Non Gear,Marathahalli
Christopher Alexander,christopheralexander@gmail.com,8163141483,02-10-2025,INV33448,14-11-2025,Upgrade,Mudguard,Yes,Avon Classic,Gear,Marathahalli
Lauren Ramos,laurenramos@gmail.com,7093165157,27-10-2025,INV25114,25-11-2025,Full Service,Brake Pads,No,Montra Trance,Non Gear,Marathahalli
Summer Poole,summerpoole@gmail.com,7017883407,04-09-2025,INV26122,Not yet ,Not yet time for servicing ,NIL,NIL,Ninety One Wanderer,Gear,Marathahalli
Nicole Orr,nicoleorr@gmail.com,9446359870,19-09-2025,INV41499,Not yet ,Not yet time for servicing ,NIL,NIL,Hero Sprint,Gear,Sarjapura road iblur 
Brittany Barber,brittanybarber@gmail.com,6611652705,11-09-2025,INV19202,Not yet ,Not yet time for servicing ,NIL,NIL,Hercules Roadeo,Gear,Sarjapura road iblur 
Paul Pennington,paulpennington@gmail.com,6550838988,19-09-2025,INV33988,22-11-2025,Full Service,Seat,No,Btwin Rockrider,Non Gear,Sarjapura road iblur 
Steven Carroll,stevencarroll@gmail.com,7960847714,30-10-2025,INV63327,24-10-2025,Repair,Brake Pads,No,Ninety One Wanderer,Gear,Sarjapura road iblur 
John Phillips,johnphillips@gmail.com,9767606948,18-10-2025,INV40032,14-11-2025,Maintenance,Tires,Yes,Hero Sprint,Gear,Sarjapura road iblur 
Andrea Ayers,andreaayers@gmail.com,9289166210,29-09-2025,INV29221,25-11-2025,Repair,Pedals,No,Ninety One Wanderer,Gear,Sarjapura road iblur 
Brian Foster,brianfoster@gmail.com,7417673047,01-10-2025,INV16429,Not yet ,Not yet time for servicing ,NIL,NIL,BSA Ladybird,Non Gear,Sarjapura road iblur 
Donna Norris,donnanorris@gmail.com,6162996407,21-09-2025,INV25298,Not yet ,Not yet time for servicing ,NIL,NIL,BSA Ladybird,Non Gear,Marathahalli
Darren Moore DVM,darrenmooredvm@gmail.com,9198403860,15-10-2025,INV94649,Not yet ,Not yet time for servicing ,NIL,NIL,Ninety One Wanderer,Gear,Marathahalli
Jill Williams,jillwilliams@gmail.com,8803458022,17-10-2025,INV37330,Not yet ,Not yet time for servicing ,NIL,NIL,Avon Classic,Gear,Marathahalli
William Orozco,williamorozco@gmail.com,8800918185,05-09-2025,INV29798,Not yet ,Not yet time for servicing ,NIL,NIL,Firefox Bad Attitude,Gear,Marathahalli
Angela Carey,angelacarey@gmail.com,8859698373,22-10-2025,INV97529,Not yet ,Not yet time for servicing ,NIL,NIL,Ninety One Wanderer,Gear,Marathahalli
Ronald Flores,ronaldflores@gmail.com,8856102967,04-09-2025,INV37641,22-11-2025,Full Service,Gear System,Yes,Btwin Rockrider,Gear,Marathahalli
Ivan Riggs,ivanriggs@gmail.com,8989996463,28-09-2025,INV29301,24-10-2025,Maintenance,Pedals,No,Firefox Bad Attitude,Non Gear,Dommasandra
Jonathan Lopez,jonathanlopez@gmail.com,9457048605,08-10-2025,INV89566,14-11-2025,Maintenance,Gear System,No,Montra Trance,Non Gear,Dommasandra
Jack Pacheco MD,jackpachecomd@gmail.com,6575698652,04-10-2025,INV13882,25-11-2025,Repair,Gear System,No,BSA Ladybird,Non Gear,Dommasandra
Shaun Mckay,shaunmckay@gmail.com,6749587204,31-10-2025,INV50400,31-11-2025,Upgrade,Battery,Yes,Montra Trance,Non Gear,Dommasandra
Jordan Shah,jordanshah@gmail.com,8369487874,22-10-2025,INV74642,Not yet ,Not yet time for servicing ,NIL,NIL,Montra Trance,Non Gear,Dommasandra
Melissa Hansen,melissahansen@gmail.com,8040446452,24-10-2025,INV56944,Not yet ,Not yet time for servicing ,NIL,NIL,Hero Sprint,Non Gear,Dommasandra
Christopher Montgomery,christophermontgomery@gmail.com,7751105131,06-09-2025,INV11369,Not yet ,Not yet time for servicing ,NIL,NIL,Hero Sprint,Gear,Bommanahalli 
Mr. Jason Shaw,mr.jasonshaw@gmail.com,9314569479,26-10-2025,INV68277,22-11-2025,Full Service,Handlebar,Yes,Ninety One Wanderer,Non Gear,Bommanahalli 
Jerome Fisher,jeromefisher@gmail.com,6635494804,15-09-2025,INV84590,24-10-2025,Full Service,Mudguard,No,Ninety One Wanderer,Non Gear,Bommanahalli 
Robert Miller,robertmiller@gmail.com,7320007228,13-09-2025,INV47783,Not yet ,Not yet time for servicing ,NIL,NIL,Hero Sprint,Gear,Bommanahalli 
Kyle Little,kylelittle@gmail.com,9054422163,25-09-2025,INV36978,Not yet ,Not yet time for servicing ,NIL,NIL,BSA Ladybird,Non Gear,Electronic city
Lauren Taylor,laurentaylor@gmail.com,6029771750,28-09-2025,INV56742,Not yet ,Not yet time for servicing ,NIL,NIL,BSA Ladybird,Non Gear,Electronic city
Heather Bentley,heatherbentley@gmail.com,8730171363,17-10-2025,INV34723,Not yet ,Not yet time for servicing ,NIL,NIL,Ninety One Wanderer,Gear,Kanakapura
Laura Vargas,lauravargas@gmail.com,6147750872,24-10-2025,INV57769,Not yet ,Not yet time for servicing ,NIL,NIL,Avon Classic,Non Gear,Kanakapura
Cassie Ellis,cassieellis@gmail.com,7232455249,19-10-2025,INV45520,Not yet ,Not yet time for servicing ,NIL,NIL,BSA Ladybird,Non Gear,Kanakapura
Rinesh A R,rineshar123777@gmail.com,8861003568,11-11-2025,INV49632,Not yet ,Not yet time for servicing ,NIL,NIL,Fire fox charger pro D,Gear,Electronic city 
